INDEX,YEAR,MN,DT,RF,week
43029,2015,1,1,0.0,1
43029,2015,1,2,14.1,1
43029,2015,1,3,35.9,1
43029,2015,1,4,5.0,1
43029,2015,1,5,0.0,1
43029,2015,1,6,0.0,1
43029,2015,1,7,0.0,1
43029,2015,1,8,0.0,2
43029,2015,1,9,0.0,2
43029,2015,1,10,0.0,2
43029,2015,1,11,0.0,2
43029,2015,1,12,0.0,2
43029,2015,1,13,0.0,2
43029,2015,1,14,0.0,2
43029,2015,1,15,0.0,3
43029,2015,1,16,0.0,3
43029,2015,1,17,0.0,3
43029,2015,1,18,0.0,3
43029,2015,1,19,0.0,3
43029,2015,1,20,0.0,3
43029,2015,1,21,0.0,3
43029,2015,1,22,0.0,4
43029,2015,1,23,0.0,4
43029,2015,1,24,0.0,4
43029,2015,1,25,0.0,4
43029,2015,1,26,0.0,4
43029,2015,1,27,0.0,4
43029,2015,1,28,0.0,4
43029,2015,1,29,0.0,5
43029,2015,1,30,0.0,5
43029,2015,1,31,0.0,5
43029,2015,2,1,0.0,5
43029,2015,2,2,0.0,5
43029,2015,2,3,0.0,5
43029,2015,2,4,0.0,5
43029,2015,2,5,0.0,6
43029,2015,2,6,0.0,6
43029,2015,2,7,0.0,6
43029,2015,2,8,0.0,6
43029,2015,2,9,0.0,6
43029,2015,2,10,0.0,6
43029,2015,2,11,0.0,6
43029,2015,2,12,0.0,7
43029,2015,2,13,0.0,7
43029,2015,2,14,0.0,7
43029,2015,2,15,0.0,7
43029,2015,2,16,0.0,7
43029,2015,2,17,0.0,7
43029,2015,2,18,0.0,7
43029,2015,2,19,0.0,8
43029,2015,2,20,0.0,8
43029,2015,2,21,0.0,8
43029,2015,2,22,0.0,8
43029,2015,2,23,0.0,8
43029,2015,2,24,0.0,8
43029,2015,2,25,0.0,8
43029,2015,2,26,0.0,9
43029,2015,2,27,0.0,9
43029,2015,2,28,0.0,9
43029,2015,3,1,0.0,9
43029,2015,3,3,0.0,9
43029,2015,3,4,0.0,9
43029,2015,3,5,0.0,10
43029,2015,3,6,0.0,10
43029,2015,3,7,0.0,10
43029,2015,3,8,0.0,10
43029,2015,3,9,1.0,10
43029,2015,3,10,0.0,10
43029,2015,3,11,0.0,10
43029,2015,3,12,0.0,11
43029,2015,3,13,0.0,11
43029,2015,3,14,0.0,11
43029,2015,3,15,0.0,11
43029,2015,3,16,0.0,11
43029,2015,3,17,5.1,11
43029,2015,3,18,0.0,11
43029,2015,3,19,0.0,12
43029,2015,3,20,0.0,12
43029,2015,3,21,0.0,12
43029,2015,3,22,0.0,12
43029,2015,3,23,0.0,12
43029,2015,3,24,0.0,12
43029,2015,3,25,0.0,12
43029,2015,3,26,0.0,13
43029,2015,3,27,0.0,13
43029,2015,3,28,0.0,13
43029,2015,3,29,0.0,13
43029,2015,3,30,1.0,13
43029,2015,3,31,0.0,13
43029,2015,4,1,0.0,13
43029,2015,4,2,0.0,14
43029,2015,4,3,0.0,14
43029,2015,4,4,0.0,14
43029,2015,4,5,0.0,14
43029,2015,4,6,0.0,14
43029,2015,4,7,0.0,14
43029,2015,4,8,28.0,14
43029,2015,4,9,0.0,15
43029,2015,4,10,0.0,15
43029,2015,4,11,20.0,15
43029,2015,4,12,6.2,15
43029,2015,4,13,0.0,15
43029,2015,4,14,3.8,15
43029,2015,4,15,0.0,15
43029,2015,4,16,0.0,16
43029,2015,4,17,0.0,16
43029,2015,4,18,0.0,16
43029,2015,4,19,0.0,16
43029,2015,4,20,0.0,16
43029,2015,4,21,0.0,16
